 タイセイサミット, スマートオーディン
 タイセイサミット, プロディガルサン
 タイセイサミット, マイネルラフレシア
 タイセイサミット, キラージョー
 タイセイサミット, ハレルヤボーイ
 タイセイサミット, アグレアーブル
 タイセイサミット, ロスカボス
 タイセイサミット, レインボーライン
 タイセイサミット, ダイワリアクション
 タイセイサミット, カミノライデン
 タイセイサミット, マカヒキ
 タイセイサミット, リオンディーズ
 タイセイサミット, エアスピネル
 タイセイサミット, アドマイヤエイカン
 タイセイサミット, エディクト
 タイセイサミット, イマジンザット
 タイセイサミット, モーゼス
 タイセイサミット, モウカッテル
 タイセイサミット, シャララ
 タイセイサミット, ケンホファヴァルト
 タイセイサミット, ヴィガーエッジ
 タイセイサミット, アーバンキッド
 タイセイサミット, レインボーフラッグ
 タイセイサミット, ロワアブソリュー
 タイセイサミット, ディープエクシード
 タイセイサミット, アイファープリティ
 タイセイサミット, キャノンストーム
 タイセイサミット, トーアライジン
 タイセイサミット, オウケンダイヤ
 タイセイサミット, ダッシングブレイズ
 タイセイサミット, アストラエンブレム
 タイセイサミット, マイネルハニー
 タイセイサミット, クラリティシチー
 タイセイサミット, バーディーイーグル
 タイセイサミット, マイネルミラノ
 タイセイサミット, デンコウアンジュ
 タイセイサミット, フルーキー
 タイセイサミット, ナスノセイカン
 タイセイサミット, ベルーフ
 タイセイサミット, ヒストリカル
 タイセイサミット, カムフィー
 タイセイサミット, メドウラーク
 タイセイサミット, クラリティスカイ
 タイセイサミット, レッドレイヴン
 タイセイサミット, トーセンレーヴ
 タイセイサミット, パドルウィール
 タイセイサミット, メートルダール
 タイセイサミット, ミッキーロケット
 タイセイサミット, ロードヴァンドール
 タイセイサミット, ショウナンバッハ
 タイセイサミット, マキシマムドパリ
 タイセイサミット, マウントロブソン
 タイセイサミット, バンドワゴン
 タイセイサミット, ケントオー
 タイセイサミット, スズカデヴィアス
 タイセイサミット, ヴォージュ
 タイセイサミット, クィーンチャーム
 タイセイサミット, フェルメッツァ
 タイセイサミット, ストーンウェア
 タイセイサミット, レコンダイト
 タイセイサミット, サラトガスピリット
タイセイサミット,セダブリランテス
タイセイサミット,ウインブライト
タイセイサミット,ストレンジクォーク
タイセイサミット,ブラックバゴ
タイセイサミット,ダイワキャグニー
タイセイサミット,トーセンマタコイヤ
タイセイサミット,デニムアンドルビー
タイセイサミット,ケントオー
タイセイサミット,ショウナンマルシェ
タイセイサミット,カデナ
タイセイサミット,マイネルミラノ
タイセイサミット,アウトライアーズ
タイセイサミット,レアリスタ
タイセイサミット,フェルメッツァ
タイセイサミット,パリカラノテガミ
タイセイサミット,ジョルジュサンク
タイセイサミット,トリオンフ
タイセイサミット,クインズミラーグロ
タイセイサミット,スズカデヴィアス
タイセイサミット,ダッシングブレイズ
タイセイサミット,マサハヤドリーム
タイセイサミット,サトノスティング
タイセイサミット,ハッピーユニバンス
タイセイサミット,サトノアリシア
タイセイサミット,ケイティープライド
タイセイサミット,クラリティスカイ
タイセイサミット,ヒットザターゲット
タイセイサミット,ウインガナドル
タイセイサミット,ヤマカツライデン
タイセイサミット,ダノンメジャー
 タイセイサミット, シャドウアプローチ
 タイセイサミット, ユウチェンジ
 タイセイサミット, シュウジ
 タイセイサミット, ツーエムレジェンド
 タイセイサミット, アドマイヤモラール
 タイセイサミット, イモータル
 タイセイサミット, コパノディール
 タイセイサミット, ボールライトニング
 タイセイサミット, スリラーインマニラ
 タイセイサミット, ショウナンライズ
 タイセイサミット, サイモンゼーレ
 タイセイサミット, ウインオスカー
